created_at,text,retweet_count,favorite_count,sentimento,subjetividade,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRT,PRON,VERB,.,X,popularidade
2018-10-28 23:28:12,Jair Bolsonaro fala pela primeira vez como Presidente eleito: https://t.co/zOavZ1SG7D,5199,33917,0.25,0.3333333333333333,2,2,0,0,1,5,0,0,0,1,0,0,35.08721923828125
2018-10-28 23:26:01,Obrigado pela confiança! Vamos juntos mudar o Brasil! https://t.co/eeAdr0dc13,29207,135263,0.0,0.0,0,1,1,0,0,5,0,1,2,2,0,0,35.08697509765625
2018-10-28 23:13:01,BRASIL! 🇧🇷👍🏻,51825,211283,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,35.085205078125
2018-10-28 01:38:42,@lobaoeletrico 👍🏻🇧🇷,565,4489,0.0,0.0,1,0,0,0,0,2,0,0,0,0,0,0,34.9041748046875
2018-10-28 00:59:06,"ATÉ A VITÓRIA, SE DEUS QUISER! 🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/gSy1hyQt28",19733,91936,1.0,0.4,1,0,0,0,0,6,0,0,0,1,0,0,34.8988037109375
2018-10-28 00:52:56,"Depois de décadas, o Brasil finalmente tem a chance de eleger um presidente que carrega verdadeiramente os valores dos Brasileiros. Vamos juntos mudar os rumos da nossa nação! Vamos votar Jair Bolsonaro presidente 17! Um forte abraço a todos e até a vitória, se Deus quiser! https://t.co/bFn17omhAp",17579,74695,0.328125,0.6875,2,3,3,1,6,17,1,3,3,8,0,0,34.89788818359375
2018-10-28 00:36:26,A escolha é com o Brasil! https://t.co/5cTz1IDPxQ,9875,38304,0.0,0.0,0,1,0,0,1,4,0,0,0,1,0,0,34.89556884765625
2018-10-27 23:51:04,https://t.co/yvI9KznFUU https://t.co/G9Nbq9AftS,3168,14264,0.0,0.0,1,0,0,0,0,3,0,0,0,0,0,0,34.8892822265625
2018-10-27 22:58:02,"Se for da vontade de Deus, amanhã será o dia de nossa nova independência. Vamos derrotar o partido dos maiores escândalos de corrupção da história, do Petrolão, do Mensalão, do Foro de SP, dos inimigos da liberdade e da Constituição! Devolveremos o Brasil aos brasileiros de bem!",25420,113822,0.5227272727272727,0.5272727272727273,3,6,0,1,4,17,0,3,3,8,0,0,34.8818359375
2018-10-27 22:26:49,RT @FlavioBolsonaro: Nossa solidariedade ao povo judeu nesse abominável ato antissemita. E nossos sentimentos aos familiares dos que foram…,4589,0,0.0,0.0,3,3,0,1,4,8,0,1,3,1,0,0,34.87750244140625
2018-10-27 22:26:24,Última live pré-segundo turno. O futuro está nas mãos dos brasileiros. Link completo no youtube. https://t.co/QfYKbbt3Lz,3479,16521,0.12159090909090907,0.3104166666666667,2,2,0,0,2,9,0,0,0,1,0,0,34.87750244140625
2018-10-27 19:36:39,ATÉ O ÚLTIMO MOMENTO! VAMOS TODOS JUNTOS! https://t.co/3S2AU4hv9e,9319,40105,0.0,0.06666666666666668,0,1,1,0,2,4,0,0,1,2,0,0,34.8538818359375
2018-10-27 19:16:30,"Hoje, 27/10, às 18:30h, faremos a última live antes das Eleições. Momento para nos unirmos e nos conscientizarmos sobre o futuro que está em jogo. Temos 2 opções: a mudança e prosperidade ou a mesmice dos que quebraram, assaltaram e levaram o Brasil ao caos e à violência. Até lá!",9189,41467,0.09659090909090907,0.23541666666666666,3,6,2,5,5,11,3,2,3,9,0,0,34.85113525390625
2018-10-27 17:00:08,"Emocionante sentir a esperança dos brasileiros! Lamento não estar mais perto por conta das limitações médicas após sofrer tentativa de assassinato por um antigo militante do PSOL, braço do PT, mas confiamos e escutamos o Brasil! LEMBREM-SE NADA ESTÁ GANHO! Força até o fim!",15337,76223,0.125,0.26666666666666666,2,5,2,2,3,15,0,2,2,9,0,0,34.83209228515625
2018-10-27 16:28:51,"A DEMOCRACIA DO MST, UNE e outros estranhos: Militantes de esquerda, desafiam justiça e fazem ato chamando Juiz Moro de corrupto: https://t.co/weD189XfNA",6056,21230,-0.3125,0.6875,2,0,0,1,0,14,0,0,0,1,0,0,34.82781982421875
2018-10-27 15:58:26,"Recebi apoio da Federação das Empregadas e Trabalhadores Domésticos de SP. Ela destaca nossa extrema sinceridade e atenção sempre dada em visitas ao meu gabinete, e a demagogia do PT, que sempre disse representar a classe, mas a enganou. Veja o documento: https://t.co/TEidHkIP9E",9221,34972,-0.0625,0.55,1,3,2,4,5,16,0,3,5,7,0,0,34.82354736328125
2018-10-27 14:55:56,"Em suas redes sociais, Joaquim barbosa divulga voto em Haddad, mas já está na história que ele mesmo disse que só Bolsonaro não foi comprado pelo PT no esquema de corrupção conhecido como Mensalão, que feria gravamente a democracia do nosso país anulando o Poder Legislativo. https://t.co/79dRHsvGwH",15776,50344,0.016666666666666666,0.5333333333333333,2,8,4,1,5,16,0,0,5,8,0,0,34.81488037109375
2018-10-27 13:15:47,Trabalhador indignado mostra a realidade de violência no Brasil. https://t.co/1invULEyD5,9804,31946,-0.9,1.0,0,2,0,0,1,6,0,0,0,2,0,0,34.80096435546875
2018-10-27 12:30:43,Obrigado pelo apoio com a hashtag #MudaBrasil17 . Primeiro lugar no Brasil e segundo no mundo! 👍🏻,18664,74057,0.15,0.17777777777777778,2,4,0,1,3,8,0,0,0,0,0,0,34.794677734375
2018-10-27 10:12:28,"Todo cidadão, para gozar de seus plenos direitos, deve obedecer às leis e cumprir com seus deveres. Qualquer pessoa no território nacional, mesmo não sendo cidadã brasileira , tem direitos inalienáveis como ser humano, assim como tem o dever de obedecer as leis do Brasil.",5697,26684,0.25,0.38333333333333336,5,5,4,1,7,11,0,2,2,7,0,0,34.7755126953125
